fk_song,fk_artist
490,452
491,637
492,512
493,364
494,583
495,151
496,680
497,96
498,25
499,296
500,18
501,401
501,369
501,234
502,328
503,328
503,325
504,524
504,477
504,19
504,476
505,88
506,488
507,426
507,125
508,638
509,293
509,524
510,557
511,216
512,328
513,88
514,195
514,405
514,169
515,510
516,365
517,510
518,557
518,176
519,122
519,392
519,93
520,294
520,8
521,392
522,18
523,506
524,88
525,86
526,410
527,365
528,329
529,694
530,256
531,329
532,50
532,88
533,637
534,245
534,17
535,638
536,164
536,604
537,524
537,624
538,557
539,392
539,137
540,364
541,282
542,628
543,686
543,570
543,687
544,86
545,170
545,176
545,556
545,392
546,131
546,576
547,122
548,488
548,176
549,175
549,194
549,604
550,478
551,333
551,392
552,184
552,684
553,126
554,694
555,401
556,203
556,575
557,325
558,86
559,682
560,42
561,664
561,198
562,675
562,488
563,682
563,524
564,651
565,68
566,282
566,332
567,557
567,97
568,337
569,365
570,203
570,107
570,162
571,155
571,682
572,632
573,328
574,186
575,557
576,592
576,649
577,274
578,719
578,305
579,408
580,79
580,103
581,162
582,482
582,639
582,162
583,176
584,58
585,283
586,155
586,211
586,488
587,122
588,567
589,447
590,445
591,299
591,45
592,68
593,392
593,176
594,658
595,481
596,335
596,237
597,719
598,59
598,122
599,236
599,349
600,102
601,221
601,281
602,426
602,694
603,190
604,654
605,332
606,557
606,97
607,488
608,505
609,211
609,600
610,18
611,401
612,221
613,328
614,211
615,211
616,426
617,671
618,176
618,392
619,557
620,481
621,176
621,557
622,155
622,600
623,284
624,88
625,325
625,59
625,539
625,0
626,319
627,401
627,369
627,234
628,23
629,328
630,606
630,694
630,88
631,632
632,319
632,59
633,155
633,488
634,426
634,125
635,510
636,508
636,102
637,159
638,290
639,328
640,97
641,18
642,682
643,678
644,299
645,538
646,524
646,122
647,521
648,155
648,682
649,245
649,480
650,259
651,408
652,0
652,176
653,117
654,122
655,59
655,488
656,196
657,327
658,225
659,245
659,17
660,524
661,271
662,18
663,97
663,477
664,103
665,398
666,645
667,135
668,103
669,18
670,682
671,694
672,477
673,488
674,335
675,675
676,352
677,557
677,122
678,45
679,671
680,665
681,592
681,649
682,122
683,329
684,624
684,694
684,396
685,126
686,282
687,557
688,250
688,524
689,267
690,94
691,408
692,557
693,372
694,351
695,445
696,282
697,186
698,397
699,414
699,574
699,690
700,563
700,626
700,519
701,267
702,46
703,414
703,574
703,548
704,320
705,510
705,473
706,88
707,213
707,478
708,328
709,88
710,645
711,557
711,449
712,144
712,520
713,404
714,632
715,450
716,450
717,41
718,320
718,288
719,34
720,289
720,320
721,692
721,86
722,725
722,217
723,43
724,622
724,307
725,557
726,263
726,113
727,99
728,88
729,36
729,412
730,176
731,592
732,176
732,418
733,426
734,524
734,125
735,365
736,426
737,392
737,176
737,222
738,202
739,14
739,176
739,0
739,334
740,319
740,488
741,414
741,574
741,430
742,97
742,212
743,367
743,108
744,521
745,267
746,271
746,445
747,25
747,488
748,159
749,426
750,465
750,610
751,510
752,150
753,538
754,97
754,190
755,329
756,221
757,687
757,660
757,557
758,68
758,523
758,220
759,521
760,267
761,506
762,211
763,497
764,283
765,194
766,332
767,408
768,557
769,632
770,259
771,705
772,505
773,183
774,221
775,661
775,632
776,408
777,334
778,68
779,422
779,445
780,502
780,211
781,127
782,445
783,651
783,692
784,477
785,564
785,222
785,556
786,192
787,452
788,657
789,15
789,222
789,556
790,259
791,364
792,213
793,692
793,319
794,583
795,514
796,545
797,0
798,512
799,520
800,328
800,317
801,306
802,265
802,113
803,506
804,283
804,0
805,417
806,437
807,36
807,265
808,580
809,524
809,329
810,51
811,632
812,490
812,685
813,171
813,382
814,194
814,557
815,12
815,125
816,404
817,514
818,404
819,264
820,41
821,267
822,505
823,600
824,265
824,558
825,299
825,36
825,488
826,168
826,580
827,426
828,122
828,392
828,219
828,667
828,678
829,28
830,669
831,97
832,113
833,58
833,289
834,488
835,36
835,725
836,195
836,160
836,227
837,190
838,283
838,606
839,130
839,297
840,294
840,702
841,345
841,122
842,450
843,320
844,328
845,512
846,26
847,213
847,408
848,455
849,135
850,183
851,675
852,73
853,176
853,418
854,183
855,267
856,702
856,291
856,554
857,182
858,41
859,283
860,426
861,282
862,408
863,663
863,586
864,213
865,506
866,82
867,55
868,561
869,428
870,553
870,714
870,554
871,335
872,583
873,646
874,579
875,122
875,682
875,556
876,443
876,320
877,165
878,328
879,364
880,474
880,580
881,563
881,626
881,519
882,365
882,542
883,594
883,557
884,7
885,626
885,265
886,354
887,392
887,176
888,448
888,450
888,694
888,317
889,274
890,414
890,574
890,586
890,254
891,7
892,725
892,251
893,58
894,586
894,65
895,176
896,372
897,452
897,103
898,450
899,425
899,88
900,183
901,694
901,114
902,206
903,426
904,688
905,632
906,601
907,655
908,655
909,504
910,655
911,190
912,257
913,632
913,334
914,419
914,171
914,457
915,283
916,632
917,603
917,166
917,319
918,543
919,206
919,551
920,437
921,208
921,345
922,503
922,122
922,301
923,33
924,580
925,592
925,14
926,437
927,632
928,176
929,155
929,488
929,54
929,19
930,211
930,577
930,403
931,319
932,183
933,18
934,595
935,669
936,485
937,524
937,477
938,541
938,17
939,470
939,294
940,557
940,325
940,516
941,202
942,206
942,459
943,579
944,426
945,59
945,181
946,557
947,554
948,625
949,488
949,176
949,392
949,122
950,600
951,159
952,699
953,682
953,317
954,36
954,655
955,632
956,580
957,171
957,27
958,202
959,58
960,592
961,398
962,675
963,505
964,488
964,176
964,392
965,36
966,485
967,435
967,122
967,488
968,544
969,683
970,303
970,568
971,189
972,437
973,114
973,437
974,437
974,306
975,669
976,279
976,292
977,496
978,299
978,36
978,488
979,580
980,261
980,176
981,266
982,414
982,574
982,197
982,438
982,355
982,238
983,579
984,122
984,678
985,408
986,59
986,176
987,228
988,600
989,332
990,183
991,187
992,22
993,464
994,489
994,195
995,477
995,317
996,505
997,176
998,97
998,167
999,319
1000,319
1001,176
1001,696
1001,361
1002,557
1002,176
1003,676
1004,161
1005,18
1006,640
1006,156
1007,320
1008,640
1008,248
1009,600
1009,589
1010,407
1011,557
1012,211
1013,447
1014,208
1014,677
1015,97
1015,557
1016,172
1017,223
1017,54
1018,676
1019,676
1020,724
1021,595
1022,176
1023,419
1023,319
1023,457
1024,18
1025,640
1025,571
