artist_id,name,birthplace
0,2 Chainz,"College Park, Georgia, U.S."
1,2 Pistols,"Tarpon Springs, Florida, U.S."
2,21 Savage,"Plaistow, London, England"
3,24kGoldn,"San Francisco, California, U.S."
4,3 Doors Down,"Escatawpa, Mississippi, U.S."
5,3OH!3,"Boulder, Colorado, U.S."
6,42 Dugg,"Detroit, Michigan, U.S."
7,5 Seconds Of Summer,"Sydney, New South Wales, Australia"
8,50 Cent,"New York City, U.S."
9,6ix9ine,"New York City, U.S."
10,6LACK,"Baltimore, Maryland, U.S."
11,A Boogie Wit da Hoodie,"New York City, U.S."
12,A Great Big World,"New York City, New York, United States"
13,A$AP Ferg,"New York City, U.S."
14,A$AP Rocky,"New York City, U.S."
15,Ace Hood,"Port St. Lucie, Florida, U.S."
16,Adam Lambert,"Indianapolis, Indiana, U.S."
17,Adam Levine,"Los Angeles, California, U.S."
18,Adele,"London, England"
19,Afrojack,"Spijkenisse, South Holland, Netherlands"
20,AJR,"Manhattan, New York, U.S."
21,Akon,"St. Louis, Missouri, U.S."
22,Alessia Cara,"Mississauga, Ontario, Canada"
23,Alex Clare,"Southwark, London, England"
24,Ali,"St. Louis, Missouri, U.S."
25,Alicia Keys,"New York City, U.S."
26,Aloe Blacc,"Laguna Hills, California, U.S."
27,AlunaGeorge,"London, England"
28,American Authors,"Boston, Massachusetts, United States"
29,Amine,"Casablanca, Morocco"
30,Amy Winehouse,"Southgate, London, England"
31,Anderson .Paak,"Oxnard, California, U.S."
32,Andre 3000,"Atlanta, Georgia, U.S."
33,Andy Grammer,"Los Angeles, California, U.S."
34,Anna Kendrick,"Portland, Maine, U.S."
35,Anne-Marie,"East Tilbury, Essex, England"
36,Ariana Grande,"Boca Raton, Florida, U.S."
37,Arizona Zervas,"Providence, Rhode Island, U.S."
38,Asher Roth,"Morrisville, Pennsylvania, U.S."
39,ATR Son Son,
40,Ava Max,"Milwaukee, Wisconsin, U.S."
41,Avicii,"Stockholm, Sweden"
42,Avril Lavigne,"Belleville, Ontario, Canada"
43,AWOLNATION,"Los Angeles, California, U.S."
44,Ayo and Teo,"Ann Arbor, Michigan, USA"
45,B.o.B,"Winston-Salem, North Carolina, U.S."
46,Baauer,"Philadelphia, Pennsylvania, U.S."
47,Baby Bash,"Vallejo, California, U.S."
48,Baby Boy Da Prince,"New Orleans, Louisiana, United States"
49,Bad Bunny,"Vega Baja, Puerto Rico"
50,Bad Meets Evil,"Detroit, Michigan, U.S."
51,Bastille,"London, England"
52,Bazzi,"Canton, Michigan, U.S."
53,beabadoobee,"Iloilo City, Philippines"
54,Bebe Rexha,"Brooklyn, New York City, U.S."
55,Becky G,"Inglewood, California, U.S."
56,BENEE,"Grey Lynn, Auckland, New Zealand"
57,benny blanco,"Reston, Virginia, U.S."
58,Beyonce,"Houston, Texas, U.S."
59,Big Sean,"Santa Monica, California, U.S."
60,Billie Eilish,"Los Angeles, California, U.S."
61,Billy Currington,"Savannah, Georgia, U.S."
62,Billy Ray Cyrus,"Flatwoods, Kentucky, U.S."
63,Bipolar Sunshine,"Manchester, England"
64,Birdman,"New Orleans, Louisiana, U.S."
65,BJ The Chicago Kid,"Chicago, Illinois, U.S."
66,Black Eyed Peas,"Los Angeles, California, U.S."
67,blackbear,"Daytona Beach, Florida, U.S."
68,Blake Shelton,"Ada, Oklahoma, U.S."
69,Blanco Brown,"Atlanta, Georgia, U.S."
70,BlocBoy JB,"Memphis, Tennessee, U.S."
71,Blue October,"Houston, Texas, U.S."
72,Blueface,"Los Angeles, California, U.S."
73,Bobby Shmurda,"Miami, Florida, U.S."
74,Bobby Valentino,"Mississippi, U.S."
75,Bon Jovi,"Sayreville, New Jersey, U.S."
76,Bone Thugs-N-Harmony,"Cleveland, Ohio, U.S."
77,Bow Wow,"Columbus, Ohio, U.S."
78,Boys Like Girls,"Boston, Massachusetts, U.S."
79,Brad Paisley,"Glen Dale, West Virginia, U.S."
80,Bradley Cooper,"Abington Township, Pennsylvania, U.S."
81,Brandy 'Ms. B.' Hambrick,
82,Brantley Gilbert,"Jefferson, Georgia, U.S."
83,Brenda Lee,"Atlanta, Georgia, US"
84,Brendon Urie,"St. George, Utah, U.S."
85,Brett Young,"Anaheim, Orange County, California"
86,Britney Spears,"McComb, Mississippi, U.S."
87,BRS Kash,"Atlanta, Georgia, U.S."
88,Bruno Mars,"Honolulu, Hawaii, U.S."
89,Bryson Tiller,"Louisville, Kentucky, U.S."
90,BTS,"Seoul, South Korea"
91,Bubba Sparxxx,"LaGrange, Georgia, U.S."
92,Buckcherry,"Anaheim, California, U.S."
93,Busta Rhymes,"New York City, U.S."
94,Ca$h Out,"Columbus, Georgia, U.S."
95,Calboy,"Calumet City, Illinois, U.S."
96,Cali Swag District,"Inglewood, California, US"
97,Calvin Harris,"Dumfries, Scotland"
98,Camila Cabello,"Cojímar, Havana, Cuba"
99,Capital Cities,"Los Angeles, California, US"
100,Cardi B,"New York City, U.S."
101,Carly Pearce,"Taylor Mill, Kentucky, U.S."
102,Carly Rae Jepsen,"Mission, British Columbia, Canada"
103,Carrie Underwood,"Muskogee, Oklahoma, U.S."
104,Cascada,"Bonn, North Rhine-Westphalia, West Germany"
105,Casper Magico,""
106,Cassie,"New London, Connecticut, U.S."
107,Cataracs,"Berkeley, California, United States"
108,Cedric Gervais,"Marseille, France"
109,Chad Kroeger,"Hanna, Alberta, Canada"
110,Chamillionaire,"Washington, D.C., U.S."
111,Chance The Rapper,"Chicago, Illinois, U.S."
112,Charlay,
113,Charli XCX,"Cambridge, England"
114,Charlie Puth,"Rumson, New Jersey, U.S."
115,Chase Rice,"Ormond Beach, Florida"
116,Cheat Codes,"Los Angeles, California, United States"
117,Cher Lloyd,"Malvern, Worcestershire, England"
118,Cherine Anderson,"Kingston, Jamaica"
119,Cherish,"Atlanta, Georgia, United States"
120,Childish Gambino,"Edwards Air Force Base, California, U.S."
121,Chingy,"St. Louis, Missouri, U.S."
122,Chris Brown,"Tappahannock, Virginia, U.S."
123,Chris Stapleton,"Lexington, Kentucky, U.S."
124,Chris Young,"Red Bank, New Jersey, U.S."
125,Christina Aguilera,"New York City, U.S."
126,Christina Perri,"Bensalem, Pennsylvania, U.S."
127,Ciara,"Fort Hood, Texas, U.S."
128,City Girls,"Miami, Florida, U.S."
129,CJ,"Staten Island, New York"
130,Clean Bandit,"Cambridge, England"
131,Cobra Starship,"New York City, U.S."
132,Coi Leray,"Boston, Massachusetts, U.S."
133,Colbie Caillat,"Malibu, California"
134,Colby O'Donis,"New York City, U.S."
135,Coldplay,"London, England"
136,Cole Swindell,"Bronwood, Georgia, U.S."
137,Cory Gunz,"The Bronx, New York City, U.S."
138,Crime Mob,"Atlanta, Georgia, U.S."
139,D.R.A.M.,"Hampton, Virginia, U.S."
140,D4L,"Atlanta, Georgia, United States"
141,Da Brat,"Chicago, Illinois, U.S."
142,DaBaby,"Cleveland, Ohio, U.S."
143,Daddy Yankee,"San Juan, Puerto Rico"
144,Daft Punk,"Paris, France"
145,Dan and Shay,"Nashville, Tennessee, U.S."
146,Daniel Caesar,"Oshawa, Ontario, Canada"
147,Daniel Powter,"Vernon, British Columbia, Canada"
148,Danity Kane,"New York City, U.S."
149,Darell,
150,Darius Rucker,"Charleston, South Carolina, U.S."
151,Daughtry,"Roanoke Rapids, North Carolina, U.S."
152,David Archuleta,"Murray, Utah, U.S."
153,David Banner,"Brookhaven, Mississippi, U.S."
154,David Cook,"Blue Springs, Missouri, U.S."
155,David Guetta,"Paris, France"
156,Daya,"Mt. Lebanon, Pennsylvania, U.S."
157,Dean Lewis,"Sydney, New South Wales, Australia"
158,Dem Franchize Boyz,"Atlanta, Georgia, U.S."
159,Demi Lovato,"Albuquerque, New Mexico, U.S."
160,Descemer Bueno,"Havana, Cuba"
161,Desiigner,"New York City, U.S."
162,Dev,"Tracy, California, U.S."
163,Diddy,"New York City, U.S."
164,Dierks Bentley,"Phoenix, Arizona, U.S."
165,Diplo,"Tupelo, Mississippi, U.S."
166,Disciples,
167,Disclosure,"Reigate, Surrey, U.K."
168,DJ Frank E,"Denver, Colorado, United States"
169,DJ Khaled,"New Orleans, Louisiana, U.S."
170,DJ Snake,"Ermont, France"
171,DNCE,"Los Angeles, California, U.S."
172,Doja Cat,"Los Angeles, California, U.S."
173,Don Toliver,"Houston, Texas, U.S."
174,Dr. Dre,"Compton, California, U.S."
175,Drake,"Toronto, Ontario, Canada"
176,Dua Lipa,"London, England"
177,Duncan Laurence,"Spijkenisse, Netherlands"
178,Dustin Lynch,"Tullahoma, Tennessee, U.S."
179,Dwele,"Detroit, Michigan, U.S."
180,E-40,"Vallejo, California, U.S."
181,Echosmith,"Chino, California, U.S."
182,Ed Sheeran,"Halifax, West Yorkshire, England"
183,Edward Maya,"Bucharest, Romania"
184,Eightball,"Brisbane Queensland, Australia"
185,Eli Young Band,"Denton, Texas, U.S."
186,Ella Henderson,"Tetney, Lincolnshire, England"
187,Ella Mai,"New York City, New York, United States"
188,Elle King,"Los Angeles, California, U.S."
189,Ellie Goulding,"Hereford, England"
190,Elliott Yamin,"Los Angeles, California"
191,Emeli Sande,"Sunderland, Tyne and Wear, England"
192,Emilee,"Meridian, Mississippi, U.S."
193,Eminem,"St. Joseph, Missouri, U.S."
194,Enrique Iglesias,"Madrid, Spain"
195,Eric Church,"Nashville, Tennessee, U.S."
196,Eric Nally,"Cincinnati, Ohio, United States"
197,Eric Turner,"Boston, Massachusetts, U.S."
198,Estelle,"London, England"
199,Evanescence,"Little Rock, Arkansas, U.S."
200,Fabolous,"New York City, U.S."
201,Fall Out Boy,"Wilmette, Illinois, U.S."
202,Far*East Movement,"Mymensingh, Bengal Presidency, British India"
203,Fat Joe,"New York City, U.S."
204,Fergie,"Hacienda Heights, California, U.S."
205,Fetty Wap,"Paterson, New Jersey, U.S."
206,Field Mob,"Albany, Georgia, United States"
207,Fifth Harmony,"Miami, Florida, U.S."
208,Finger Eleven,"Burlington, Ontario, Canada"
209,Flipp Dinero,"Canarsie, Brooklyn, New York, U.S."
210,Flo Rida,"Miami Gardens, Florida, U.S."
211,Florence Welch,"Camberwell, London, England"
212,Florida Georgia Line,"Nashville, Tennessee, U.S."
213,Flume,"Sydney, New South Wales, Australia"
214,Fort Minor,"Los Angeles, California, U.S."
215,Foster The People,"Los Angeles, California, U.S."
216,Foxes,"Southampton, Hampshire, England"
217,Frank Ocean,"Long Beach, California, U.S."
218,French Montana,"New York City, United States"
219,Friends,
220,fun.,"New York City, New York, U.S."
221,Future,"Atlanta, Georgia, U.S."
222,G-Eazy,"Oakland, California, U.S."
223,Gabby Barrett,"Munhall, Pennsylvania, U.S."
224,Gavin DeGraw,"South Fallsburg, New York, U.S."
225,Gavin Rossdale,"Marylebone, London, England"
226,Gente de Zona,"Havana, Cuba"
227,George Ezra,"Hertford, Hertfordshire, England"
228,Gipp,"February 18, 1895Laurium, Michigan"
229,Giveon,"Long Beach, California, U.S."
230,Glass Animals,"Oxford, England"
